NAME,TEAM,POSITION,HEIGHT,PPG
DENNIS RODMAN,BULLS,PF,6-7,5.2
SCOTTIE PIPPIN,BULLS,SF,6-8,17.7
MICHAEL JORDAN,BULLS,SG,6-6,31.5
DERRICK ROSE,BULLS,PG,6-3,19.7
ARTIS GILMORE,BULLS,C,7-2,19.3
LEBRON JAMES,LAKERS,SF,6-9,26.5
SHAQUILLE O'NEAL,LAKERS,C,7-1,27.0
KAREEM ABDUL-JABBAR,LAKERS,PF,7-2,22.1
KOBE BRYANT,LAKERS,SG,6-6,25.0
MAGIC JOHNSON,LAKERS,PG,6-9,19.5
JAMAL MURRAY,NUGGETS,PG,6-4,18.2
DAVID THOMPSON,NUGGETS,SG,6-4,24.1
ALEX ENGLISH,NUGGETS,SF,6-8,25.9
CARMELO ANTHONY,NUGGETS,PF,6-7,24.8
NIKOLA JOKIC,NUGGETS,C,6-11,21.9
TIM DUNCAN,SPURS,PF,6-11,19.0
KAWHI LEONARD,SPURS,SF,6-6,16.3
MANU GINOBILI,SPURS,SG,6-6,13.3
TONY PARKER,SPURS,PG,6-2,15.8
DAVID ROBINSON,SPURS,C,7-1,21.1
BILL WALTON,TRAIL BLAZERS,C,6-11,17.1
LAMARCUS ALDRIDGE,TRAIL BLAZERS,PF,6-11,19.4
DENI AVDIJA,TRAIL BLAZERS,SF,6-8,19.0
CLYDE DREXLER,TRAIL BLAZERS,SG,6-7,20.8
DAMIAN LILLARD,TRAIL BLAZERS,PG,6-2,25.2
